level_0,level_1,Name,join_artists,Score
10,191,1.0,1.0,2.0
19,205,1.0,1.0,2.0
32,232,1.0,1.0,2.0
33,233,1.0,1.0,2.0
36,255,1.0,1.0,2.0
38,261,1.0,1.0,2.0
41,263,1.0,1.0,2.0
43,260,1.0,1.0,2.0
45,257,1.0,1.0,2.0
46,258,1.0,1.0,2.0
48,254,1.0,1.0,2.0
49,259,1.0,1.0,2.0
54,297,1.0,1.0,2.0
69,378,1.0,1.0,2.0
99,769,1.0,1.0,2.0
102,770,1.0,1.0,2.0
118,758,1.0,1.0,2.0
120,792,1.0,1.0,2.0
139,1149,1.0,1.0,2.0
140,1210,1.0,1.0,2.0
144,1251,1.0,1.0,2.0
222,1561,1.0,1.0,2.0
245,1752,1.0,1.0,2.0
258,1793,1.0,1.0,2.0
264,1828,1.0,1.0,2.0
266,1829,1.0,1.0,2.0
269,1831,1.0,1.0,2.0
271,1832,1.0,1.0,2.0
272,1833,1.0,1.0,2.0
275,1835,1.0,1.0,2.0
276,1820,1.0,1.0,2.0
278,1827,1.0,1.0,2.0
289,1858,1.0,1.0,2.0
292,1920,1.0,1.0,2.0
299,1944,1.0,1.0,2.0
305,1974,1.0,1.0,2.0
308,1979,1.0,1.0,2.0
309,1982,1.0,1.0,2.0
345,2134,1.0,1.0,2.0
346,2151,1.0,1.0,2.0
354,2226,1.0,1.0,2.0
372,2362,1.0,1.0,2.0
392,2429,1.0,1.0,2.0
397,2458,1.0,1.0,2.0
401,2467,1.0,1.0,2.0
402,2469,1.0,1.0,2.0
419,2577,1.0,1.0,2.0
423,2641,1.0,1.0,2.0
432,2686,1.0,1.0,2.0
435,2693,1.0,1.0,2.0
445,2839,1.0,1.0,2.0
450,2844,1.0,1.0,2.0
452,2846,1.0,1.0,2.0
458,2850,1.0,1.0,2.0
459,2851,1.0,1.0,2.0
465,2855,1.0,1.0,2.0
470,2858,1.0,1.0,2.0
475,2862,1.0,1.0,2.0
477,2863,1.0,1.0,2.0
479,2864,1.0,1.0,2.0
488,2871,1.0,1.0,2.0
490,2872,1.0,1.0,2.0
493,2874,1.0,1.0,2.0
499,2878,1.0,1.0,2.0
506,2882,1.0,1.0,2.0
512,2886,1.0,1.0,2.0
514,2889,1.0,1.0,2.0
517,2891,1.0,1.0,2.0
540,2928,1.0,1.0,2.0
565,3067,1.0,1.0,2.0
567,3091,1.0,1.0,2.0
568,3092,1.0,1.0,2.0
573,3126,1.0,1.0,2.0
575,3127,1.0,1.0,2.0
576,3128,1.0,1.0,2.0
577,3129,1.0,1.0,2.0
580,3130,1.0,1.0,2.0
584,3132,1.0,1.0,2.0
585,3133,1.0,1.0,2.0
594,3162,1.0,1.0,2.0
599,3170,1.0,1.0,2.0
620,3370,1.0,1.0,2.0
681,3518,1.0,1.0,2.0
682,3519,1.0,1.0,2.0
710,3843,1.0,1.0,2.0
733,3999,1.0,1.0,2.0
746,4231,1.0,1.0,2.0
748,4240,1.0,1.0,2.0
756,4341,1.0,1.0,2.0
768,4349,1.0,1.0,2.0
769,4350,1.0,1.0,2.0
771,4353,1.0,1.0,2.0
774,4355,1.0,1.0,2.0
790,4433,1.0,1.0,2.0
801,4506,1.0,1.0,2.0
808,4520,1.0,1.0,2.0
811,4523,1.0,1.0,2.0
814,4526,1.0,1.0,2.0
820,4541,1.0,1.0,2.0
823,4598,1.0,1.0,2.0
832,4674,1.0,1.0,2.0
854,4882,1.0,1.0,2.0
860,4944,1.0,1.0,2.0
861,4945,1.0,1.0,2.0
863,4950,1.0,1.0,2.0
892,5106,1.0,1.0,2.0
893,5110,1.0,1.0,2.0
894,5107,1.0,1.0,2.0
895,5111,1.0,1.0,2.0
897,5112,1.0,1.0,2.0
909,5205,1.0,1.0,2.0
914,5198,1.0,1.0,2.0
915,5218,1.0,1.0,2.0
916,5222,1.0,1.0,2.0
920,5228,1.0,1.0,2.0
922,5199,1.0,1.0,2.0
923,5231,1.0,1.0,2.0
927,5255,1.0,1.0,2.0
976,5346,1.0,1.0,2.0
984,5363,1.0,1.0,2.0
989,5406,1.0,1.0,2.0
995,5421,1.0,1.0,2.0
1001,5393,1.0,1.0,2.0
1011,5532,1.0,1.0,2.0
1017,5541,1.0,1.0,2.0
1022,5550,1.0,1.0,2.0
1027,5617,1.0,1.0,2.0
1029,5608,1.0,1.0,2.0
1034,5701,1.0,1.0,2.0
1041,5698,1.0,1.0,2.0
1047,5773,1.0,1.0,2.0
1053,5872,1.0,1.0,2.0
1062,5900,1.0,1.0,2.0
1065,5917,1.0,1.0,2.0
1067,5918,1.0,1.0,2.0
1070,5896,1.0,1.0,2.0
1079,5970,1.0,1.0,2.0
1080,5972,1.0,1.0,2.0
1101,6124,1.0,1.0,2.0
1112,6160,1.0,1.0,2.0
1114,6161,1.0,1.0,2.0
1120,6163,1.0,1.0,2.0
1122,6164,1.0,1.0,2.0
1130,6155,1.0,1.0,2.0
1135,6178,1.0,1.0,2.0
1151,6270,1.0,1.0,2.0
1159,6267,1.0,1.0,2.0
1161,6282,1.0,1.0,2.0
1167,6265,1.0,1.0,2.0
1177,6432,1.0,1.0,2.0
1190,6456,1.0,1.0,2.0
1194,6478,1.0,1.0,2.0
1202,6597,1.0,1.0,2.0
1203,6604,1.0,1.0,2.0
1204,6615,1.0,1.0,2.0
1234,6809,1.0,1.0,2.0
1244,6817,1.0,1.0,2.0
1287,6941,1.0,1.0,2.0
1292,6959,1.0,1.0,2.0
1302,7025,1.0,1.0,2.0
1319,7059,1.0,1.0,2.0
1320,7054,1.0,1.0,2.0
1324,7048,1.0,1.0,2.0
1339,7134,1.0,1.0,2.0
1342,7215,1.0,1.0,2.0
1369,7516,1.0,1.0,2.0
1370,7517,1.0,1.0,2.0
1373,7519,1.0,1.0,2.0
1425,7780,1.0,1.0,2.0
1428,7766,1.0,1.0,2.0
1430,7782,1.0,1.0,2.0
1443,7826,1.0,1.0,2.0
1444,7827,1.0,1.0,2.0
1468,8152,1.0,1.0,2.0
1470,8155,1.0,1.0,2.0
1471,8157,1.0,1.0,2.0
1478,8172,1.0,1.0,2.0
1479,8173,1.0,1.0,2.0
1480,8174,1.0,1.0,2.0
1485,8178,1.0,1.0,2.0
1486,8179,1.0,1.0,2.0
1487,8180,1.0,1.0,2.0
1490,8186,1.0,1.0,2.0
1494,8217,1.0,1.0,2.0
1496,8218,1.0,1.0,2.0
1505,8239,1.0,1.0,2.0
1526,8500,1.0,1.0,2.0
1540,8589,1.0,1.0,2.0
1550,8747,1.0,1.0,2.0
1570,8924,1.0,1.0,2.0
1572,8960,1.0,1.0,2.0
1586,9019,1.0,1.0,2.0
1594,9021,1.0,1.0,2.0
1603,9145,1.0,1.0,2.0
1604,9146,1.0,1.0,2.0
1612,9301,1.0,1.0,2.0
1614,9366,1.0,1.0,2.0
1621,9476,1.0,1.0,2.0
1622,9477,1.0,1.0,2.0
1655,9708,1.0,1.0,2.0
1658,9701,1.0,1.0,2.0
1669,9908,1.0,1.0,2.0
1674,9890,1.0,1.0,2.0
1676,9891,1.0,1.0,2.0
1684,9926,1.0,1.0,2.0
1697,9939,1.0,1.0,2.0
1698,9940,1.0,1.0,2.0
1711,10023,1.0,1.0,2.0
1746,10173,1.0,1.0,2.0
1748,10200,1.0,1.0,2.0
1749,10174,1.0,1.0,2.0
1750,10212,1.0,1.0,2.0
1751,10216,1.0,1.0,2.0
1752,10217,1.0,1.0,2.0
1754,10233,1.0,1.0,2.0
1765,10386,1.0,1.0,2.0
1788,10704,1.0,1.0,2.0
1790,10732,1.0,1.0,2.0
1795,10711,1.0,1.0,2.0
1796,10713,1.0,1.0,2.0
1801,10720,1.0,1.0,2.0
1846,10938,1.0,1.0,2.0
1847,10939,1.0,1.0,2.0
1850,10958,1.0,1.0,2.0
1859,11049,1.0,1.0,2.0
1872,11058,1.0,1.0,2.0
1876,11064,1.0,1.0,2.0
1,151,1.0,1.0,2.0
3,153,1.0,1.0,2.0
14,193,1.0,1.0,2.0
24,186,1.0,1.0,2.0
25,188,1.0,1.0,2.0
26,185,1.0,1.0,2.0
55,302,1.0,1.0,2.0
56,304,1.0,1.0,2.0
65,325,1.0,1.0,2.0
123,733,1.0,1.0,2.0
134,986,1.0,1.0,2.0
170,1349,1.0,1.0,2.0
173,1336,1.0,1.0,2.0
177,1344,1.0,1.0,2.0
194,1396,1.0,1.0,2.0
205,1457,1.0,1.0,2.0
206,1458,1.0,1.0,2.0
220,1557,1.0,1.0,2.0
224,1564,1.0,1.0,2.0
225,1565,1.0,1.0,2.0
236,1644,1.0,1.0,2.0
241,1670,1.0,1.0,2.0
259,1795,1.0,1.0,2.0
261,1800,1.0,1.0,2.0
301,1955,1.0,1.0,2.0
310,1986,1.0,1.0,2.0
319,2012,1.0,1.0,2.0
320,2013,1.0,1.0,2.0
321,2014,1.0,1.0,2.0
327,2021,1.0,1.0,2.0
328,2022,1.0,1.0,2.0
332,2040,1.0,1.0,2.0
333,2045,1.0,1.0,2.0
334,2056,1.0,1.0,2.0
340,2095,1.0,1.0,2.0
405,2532,1.0,1.0,2.0
409,2545,1.0,1.0,2.0
418,2574,1.0,1.0,2.0
424,2642,1.0,1.0,2.0
425,2645,1.0,1.0,2.0
426,2651,1.0,1.0,2.0
443,2828,1.0,1.0,2.0
449,2843,1.0,1.0,2.0
451,2845,1.0,1.0,2.0
456,2849,1.0,1.0,2.0
467,2857,1.0,1.0,2.0
468,2800,1.0,1.0,2.0
472,2859,1.0,1.0,2.0
476,2833,1.0,1.0,2.0
481,2814,1.0,1.0,2.0
486,2869,1.0,1.0,2.0
