level_0,level_1,Name,join_artists,Score,Song_top,Song_attr
10,191,1.0,1.0,2.0,21 Savage - 1.5,21 Savage - 1.5
19,205,1.0,1.0,2.0,21 Savage - Monster,21 Savage - monster
32,232,1.0,1.0,2.0,5 Seconds Of Summer - Want You Back,5 Seconds of Summer - Want You Back
33,233,1.0,1.0,2.0,5 Seconds Of Summer - Youngblood,5 Seconds of Summer - Youngblood
36,255,1.0,1.0,2.0,6ix9ine - BEBE,6ix9ine - BEBE
38,261,1.0,1.0,2.0,6ix9ine - FEFE,6ix9ine - FEFE
41,263,1.0,1.0,2.0,6ix9ine - KIKA,6ix9ine - KIKA
43,260,1.0,1.0,2.0,6ix9ine - MAMA,6ix9ine - MAMA
45,257,1.0,1.0,2.0,6ix9ine - STOOPID,6ix9ine - STOOPID
46,258,1.0,1.0,2.0,6ix9ine - TATI,6ix9ine - TATI
48,254,1.0,1.0,2.0,6ix9ine - WAKA,6ix9ine - WAKA
49,259,1.0,1.0,2.0,6ix9ine - KEKE,6ix9ine - KEKE
54,297,1.0,1.0,2.0,A Boogie Wit da Hoodie - Look Back At It,A Boogie Wit da Hoodie - Look Back at It
69,378,1.0,1.0,2.0,AJR - Burn The House Down,AJR - Burn The House Down
99,769,1.0,1.0,2.0,Ariana Grande - Breathin,Ariana Grande - breathin
102,770,1.0,1.0,2.0,Ariana Grande - Everytime,Ariana Grande - everytime
118,758,1.0,1.0,2.0,Ariana Grande - R.E.M,Ariana Grande - R.E.M
120,792,1.0,1.0,2.0,Ariana Grande - Sweetener,Ariana Grande - sweetener
139,1149,1.0,1.0,2.0,Bad Wolves - Zombie,Bad Wolves - Zombie
140,1210,1.0,1.0,2.0,Bazzi - Beautiful,Bazzi - Beautiful
144,1251,1.0,1.0,2.0,Bebe Rexha - I'm A Mess,Bebe Rexha - I'm a Mess
222,1561,1.0,1.0,2.0,Brett Young - Here Tonight,Brett Young - Here Tonight
245,1752,1.0,1.0,2.0,Calboy - Envy Me,Calboy - Envy Me
258,1793,1.0,1.0,2.0,Camila Cabello - Consequences,Camila Cabello - Consequences
264,1828,1.0,1.0,2.0,Cardi B - Be Careful,Cardi B - Be Careful
266,1829,1.0,1.0,2.0,Cardi B - Bickenhead,Cardi B - Bickenhead
269,1831,1.0,1.0,2.0,Cardi B - Get Up 10,Cardi B - Get Up 10
271,1832,1.0,1.0,2.0,Cardi B - Money,Cardi B - Money
272,1833,1.0,1.0,2.0,Cardi B - Money Bag,Cardi B - Money Bag
275,1835,1.0,1.0,2.0,Cardi B - Thru Your Phone,Cardi B - Thru Your Phone
276,1820,1.0,1.0,2.0,Cardi B - I Like It,Cardi B - I Like It
278,1827,1.0,1.0,2.0,Cardi B - She Bad,Cardi B - She Bad
289,1858,1.0,1.0,2.0,Carrie Underwood - The Champion,Carrie Underwood - The Champion
292,1920,1.0,1.0,2.0,Chance The Rapper - I Might Need Security,Chance the Rapper - I Might Need Security
299,1944,1.0,1.0,2.0,Charlie Puth - The Way I Am,Charlie Puth - The Way I Am
305,1974,1.0,1.0,2.0,Childish Gambino - Feels Like Summer,Childish Gambino - Feels Like Summer
308,1979,1.0,1.0,2.0,Childish Gambino - Summertime Magic,Childish Gambino - Summertime Magic
309,1982,1.0,1.0,2.0,Childish Gambino - This Is America,Childish Gambino - This Is America
345,2134,1.0,1.0,2.0,Ciara - Level Up,Ciara - Level Up
346,2151,1.0,1.0,2.0,City Girls - Act Up,City Girls - Act Up
354,2226,1.0,1.0,2.0,Cole Swindell - Break Up In The End,Cole Swindell - Break Up in the End
372,2362,1.0,1.0,2.0,DJ Khaled - No Brainer,DJ Khaled - No Brainer
392,2429,1.0,1.0,2.0,Daddy Yankee - Dura,Daddy Yankee - Dura
397,2458,1.0,1.0,2.0,Dan + Shay - All To Myself,Dan + Shay - All To Myself
401,2467,1.0,1.0,2.0,Dan + Shay - Speechless,Dan + Shay - Speechless
402,2469,1.0,1.0,2.0,Dan + Shay - Tequila,Dan + Shay - Tequila
419,2577,1.0,1.0,2.0,Dean Lewis - Be Alright,Dean Lewis - Be Alright
423,2641,1.0,1.0,2.0,Demi Lovato - Sober,Demi Lovato - Sober
432,2686,1.0,1.0,2.0,Dierks Bentley - Burning Man,Dierks Bentley - Burning Man
435,2693,1.0,1.0,2.0,"Dierks Bentley - Woman, Amen","Dierks Bentley - Woman, Amen"
445,2839,1.0,1.0,2.0,Drake - 8 Out Of 10,Drake - 8 Out Of 10
450,2844,1.0,1.0,2.0,Drake - Blue Tint,Drake - Blue Tint
452,2846,1.0,1.0,2.0,Drake - Can't Take A Joke,Drake - Can’t Take A Joke
458,2850,1.0,1.0,2.0,Drake - Elevate,Drake - Elevate
459,2851,1.0,1.0,2.0,Drake - Emotionless,Drake - Emotionless
465,2855,1.0,1.0,2.0,Drake - Finesse,Drake - Finesse
470,2858,1.0,1.0,2.0,Drake - God's Plan,Drake - God's Plan
475,2862,1.0,1.0,2.0,Drake - I'm Upset,Drake - I'm Upset
477,2863,1.0,1.0,2.0,Drake - In My Feelings,Drake - In My Feelings
479,2864,1.0,1.0,2.0,Drake - Jaded,Drake - Jaded
488,2871,1.0,1.0,2.0,Drake - Mob Ties,Drake - Mob Ties
490,2872,1.0,1.0,2.0,Drake - Nice For What,Drake - Nice For What
493,2874,1.0,1.0,2.0,Drake - Nonstop,Drake - Nonstop
499,2878,1.0,1.0,2.0,Drake - Peak,Drake - Peak
506,2882,1.0,1.0,2.0,Drake - Sandra's Rose,Drake - Sandra’s Rose
512,2886,1.0,1.0,2.0,Drake - Summer Games,Drake - Summer Games
514,2889,1.0,1.0,2.0,Drake - Survival,Drake - Survival
517,2891,1.0,1.0,2.0,Drake - That's How You Feel,Drake - That’s How You Feel
540,2928,1.0,1.0,2.0,Dua Lipa - Kiss And Make Up,Dua Lipa - Kiss and Make Up
565,3067,1.0,1.0,2.0,Eli Young Band - Love Ain't,Eli Young Band - Love Ain't
567,3091,1.0,1.0,2.0,Ella Mai - Shot Clock,Ella Mai - Shot Clock
568,3092,1.0,1.0,2.0,Ella Mai - Trip,Ella Mai - Trip
573,3126,1.0,1.0,2.0,Eminem - Fall,Eminem - Fall
575,3127,1.0,1.0,2.0,Eminem - Greatest,Eminem - Greatest
576,3128,1.0,1.0,2.0,Eminem - Kamikaze,Eminem - Kamikaze
577,3129,1.0,1.0,2.0,Eminem - Killshot,Eminem - Killshot
580,3130,1.0,1.0,2.0,Eminem - Normal,Eminem - Normal
584,3132,1.0,1.0,2.0,Eminem - Stepping Stone,Eminem - Stepping Stone
585,3133,1.0,1.0,2.0,Eminem - The Ringer,Eminem - The Ringer
594,3162,1.0,1.0,2.0,Eric Church - Desperate Man,Eric Church - Desperate Man
599,3170,1.0,1.0,2.0,Eric Church - Some Of It,Eric Church - Some Of It
620,3370,1.0,1.0,2.0,Flipp Dinero - Leave Me Alone,Flipp Dinero - Leave Me Alone
681,3518,1.0,1.0,2.0,Future - Astronauts,Future - Astronauts
682,3519,1.0,1.0,2.0,Future - Fine China,Future - Fine China
710,3843,1.0,1.0,2.0,Gucci Mane - Wake Up In The Sky,Gucci Mane - Wake Up in the Sky
733,3999,1.0,1.0,2.0,Halsey - Without Me,Halsey - Without Me
746,4231,1.0,1.0,2.0,Imagine Dragons - Bad Liar,Imagine Dragons - Bad Liar
748,4240,1.0,1.0,2.0,Imagine Dragons - Natural,Imagine Dragons - Natural
